"lag","acf","variable"
-24,-0.163,"mean_precip"
-23,-0.154,"mean_precip"
-22,-0.159,"mean_precip"
-21,-0.154,"mean_precip"
-20,-0.129,"mean_precip"
-19,-0.116,"mean_precip"
-18,-0.079,"mean_precip"
-17,-0.069,"mean_precip"
-16,-0.026,"mean_precip"
-15,0.021,"mean_precip"
-14,0.069,"mean_precip"
-13,0.127,"mean_precip"
-12,0.193,"mean_precip"
-11,0.239,"mean_precip"
-10,0.248,"mean_precip"
-9,0.286,"mean_precip"
-8,0.284,"mean_precip"
-7,0.294,"mean_precip"
-6,0.324,"mean_precip"
-5,0.344,"mean_precip"
-4,0.334,"mean_precip"
-3,0.349,"mean_precip"
-2,0.313,"mean_precip"
-1,0.27,"mean_precip"
0,0.25,"mean_precip"
1,0.142,"mean_precip"
2,0.068,"mean_precip"
3,0.068,"mean_precip"
4,0.015,"mean_precip"
5,-0.025,"mean_precip"
6,-0.104,"mean_precip"
7,-0.148,"mean_precip"
8,-0.199,"mean_precip"
9,-0.209,"mean_precip"
10,-0.216,"mean_precip"
11,-0.22,"mean_precip"
12,-0.221,"mean_precip"
13,-0.219,"mean_precip"
14,-0.223,"mean_precip"
15,-0.199,"mean_precip"
16,-0.19,"mean_precip"
17,-0.169,"mean_precip"
18,-0.147,"mean_precip"
19,-0.148,"mean_precip"
20,-0.105,"mean_precip"
21,-0.104,"mean_precip"
22,-0.081,"mean_precip"
23,-0.066,"mean_precip"
24,-0.053,"mean_precip"
-24,-0.203,"meanTempMin"
-23,-0.172,"meanTempMin"
-22,-0.126,"meanTempMin"
-21,-0.091,"meanTempMin"
-20,-0.032,"meanTempMin"
-19,0.003,"meanTempMin"
-18,0.046,"meanTempMin"
-17,0.076,"meanTempMin"
-16,0.127,"meanTempMin"
-15,0.157,"meanTempMin"
-14,0.187,"meanTempMin"
-13,0.237,"meanTempMin"
-12,0.25,"meanTempMin"
-11,0.296,"meanTempMin"
-10,0.304,"meanTempMin"
-9,0.327,"meanTempMin"
-8,0.342,"meanTempMin"
-7,0.358,"meanTempMin"
-6,0.373,"meanTempMin"
-5,0.383,"meanTempMin"
-4,0.378,"meanTempMin"
-3,0.371,"meanTempMin"
-2,0.344,"meanTempMin"
-1,0.317,"meanTempMin"
0,0.284,"meanTempMin"
1,0.24,"meanTempMin"
2,0.198,"meanTempMin"
3,0.144,"meanTempMin"
4,0.09,"meanTempMin"
5,0.045,"meanTempMin"
6,-0.023,"meanTempMin"
7,-0.095,"meanTempMin"
8,-0.149,"meanTempMin"
9,-0.206,"meanTempMin"
10,-0.256,"meanTempMin"
11,-0.315,"meanTempMin"
12,-0.371,"meanTempMin"
13,-0.382,"meanTempMin"
14,-0.403,"meanTempMin"
15,-0.403,"meanTempMin"
16,-0.42,"meanTempMin"
17,-0.383,"meanTempMin"
18,-0.364,"meanTempMin"
19,-0.332,"meanTempMin"
20,-0.277,"meanTempMin"
21,-0.264,"meanTempMin"
22,-0.185,"meanTempMin"
23,-0.143,"meanTempMin"
24,-0.094,"meanTempMin"
-24,-0.06,"meanTempMax"
-23,-0.012,"meanTempMax"
-22,0.041,"meanTempMax"
-21,0.097,"meanTempMax"
-20,0.157,"meanTempMax"
-19,0.214,"meanTempMax"
-18,0.238,"meanTempMax"
-17,0.266,"meanTempMax"
-16,0.294,"meanTempMax"
-15,0.299,"meanTempMax"
-14,0.319,"meanTempMax"
-13,0.318,"meanTempMax"
-12,0.29,"meanTempMax"
-11,0.295,"meanTempMax"
-10,0.276,"meanTempMax"
-9,0.254,"meanTempMax"
-8,0.262,"meanTempMax"
-7,0.244,"meanTempMax"
-6,0.233,"meanTempMax"
-5,0.216,"meanTempMax"
-4,0.191,"meanTempMax"
-3,0.166,"meanTempMax"
-2,0.15,"meanTempMax"
-1,0.133,"meanTempMax"
0,0.102,"meanTempMax"
1,0.07,"meanTempMax"
2,0.053,"meanTempMax"
3,-0.001,"meanTempMax"
4,-0.024,"meanTempMax"
5,-0.068,"meanTempMax"
6,-0.122,"meanTempMax"
7,-0.165,"meanTempMax"
8,-0.214,"meanTempMax"
9,-0.264,"meanTempMax"
10,-0.302,"meanTempMax"
11,-0.364,"meanTempMax"
12,-0.41,"meanTempMax"
13,-0.4,"meanTempMax"
14,-0.414,"meanTempMax"
15,-0.403,"meanTempMax"
16,-0.412,"meanTempMax"
17,-0.386,"meanTempMax"
18,-0.343,"meanTempMax"
19,-0.293,"meanTempMax"
20,-0.232,"meanTempMax"
21,-0.188,"meanTempMax"
22,-0.13,"meanTempMax"
23,-0.079,"meanTempMax"
24,-0.009,"meanTempMax"
-24,-0.19,"mean_H2M"
-23,-0.243,"mean_H2M"
-22,-0.281,"mean_H2M"
-21,-0.307,"mean_H2M"
-20,-0.336,"mean_H2M"
-19,-0.374,"mean_H2M"
-18,-0.383,"mean_H2M"
-17,-0.38,"mean_H2M"
-16,-0.374,"mean_H2M"
-15,-0.369,"mean_H2M"
-14,-0.346,"mean_H2M"
-13,-0.298,"mean_H2M"
-12,-0.215,"mean_H2M"
-11,-0.161,"mean_H2M"
-10,-0.098,"mean_H2M"
-9,-0.02,"mean_H2M"
-8,0.015,"mean_H2M"
-7,0.091,"mean_H2M"
-6,0.129,"mean_H2M"
-5,0.199,"mean_H2M"
-4,0.253,"mean_H2M"
-3,0.296,"mean_H2M"
-2,0.31,"mean_H2M"
-1,0.304,"mean_H2M"
0,0.323,"mean_H2M"
1,0.331,"mean_H2M"
2,0.313,"mean_H2M"
3,0.314,"mean_H2M"
4,0.286,"mean_H2M"
5,0.289,"mean_H2M"
6,0.279,"mean_H2M"
7,0.252,"mean_H2M"
8,0.23,"mean_H2M"
9,0.217,"mean_H2M"
10,0.203,"mean_H2M"
11,0.188,"mean_H2M"
12,0.167,"mean_H2M"
13,0.14,"mean_H2M"
14,0.12,"mean_H2M"
15,0.086,"mean_H2M"
16,0.062,"mean_H2M"
17,0.066,"mean_H2M"
18,0.019,"mean_H2M"
19,-0.006,"mean_H2M"
20,-0.038,"mean_H2M"
21,-0.074,"mean_H2M"
22,-0.073,"mean_H2M"
23,-0.081,"mean_H2M"
24,-0.136,"mean_H2M"
